,ID,ResDensity,N_TraitValue,initial_a,initial_h,Fit_a,Fit_q,Fit_h,GFR_RSS,GFR_AIC,GFR_BIC,TypeI_a,TypeI_RSS,TypeI_AIC,TypeI_BIC,Poly1,Poly2,Poly3,Poly4,Poly_RSS,Poly_AIC,Poly_BIC
28,39849,0.2443,0.0734,0.120611756699858,0.863,1.0297198551446773,14.95261963422435,1.6696451438162145,0.6108000993639104,-68.28766759433854,-65.15410028116827,0.2302319400066074,1.2227833686285805,-53.711247284587344,-50.577679971417076,-0.038485783918559724,0.619682344627112,-0.1669873924601278,0.011505898040335506,0.42564926467332825,13.723515724375524,34.52491960339714
29,39850,0.2471,0.3135,0.12536001081822198,0.8359,0.5532278849230509,0.006051390401795931,1.2214859814522487,0.24451306573434006,-76.70558472942848,-73.87226779192916,0.1976290634912395,0.51730172524876,-62.467790974792536,-59.63447403729322,0.2146588927529897,-0.20166513831992763,0.2952933903038573,-0.056833430446992475,0.1406365528621882,-7.294627100897799,9.816396565765245
30,39851,56.3075,2.93e-07,6.35035661161753e-08,1.1400000000000001e-05,2.0192836088997073e-07,-0.3341912546152279,7.425052936844308,2.1398538991511946e-11,-124.8856819004506,-126.05736816314831,2.8334249949281657e-08,2.8911572295190287e-11,-123.38108543977012,-124.55277170246782,-8.197821910095266e-06,1.7580831337807306e-07,-5.658199005976291e-10,5.974169065943403e-13,5.283645142431264e-12,-119.68982867272356,-118.47095284785536
31,39852,53.7633,2.91e-06,6.69299177718153e-08,2.11e-05,1.7997155751475918e-07,-0.22236049158380483,0.0,3.31750581960859e-12,-134.2062289346243,-135.377915197322,4.878773205008192e-08,1.0250268456720802e-11,-128.5657756611081,-129.7374619238058,-3.2012660452837282e-06,1.2968537204097968e-07,-3.473938508444511e-10,3.9452230379767534e-13,4.846124469972653e-13,-131.634938738937,-130.4160629140688
32,39853,53.9653,8.529999999999999e-07,1.25179220269076e-07,2.35e-05,1.808208645658438e-17,4.597257336600313,43824.798934694976,2.0175584727467934e-11,-125.17992915926254,-126.35161542196025,5.965212666201835e-08,1.0772311129386361e-10,-116.80447438838792,-117.97616065108562,-1.4311378645057788e-05,3.228656063428438e-07,-1.0006583350616684e-09,1.0360998947738078e-12,1.8181137382814308e-11,-113.51098656424945,-112.29211073938124
33,39854,55.4934,2e-06,4.120402832486589e-08,2.1e-05,5.3685981841236215e-09,0.46066915810926146,21015.710641684578,1.6236696324859103e-11,-126.26592571297837,-127.43761197567608,4.8992926112837015e-08,1.7721888939409582e-11,-125.82829244788766,-126.99997871058537,2.434123656882662e-06,-1.822082292352034e-08,3.582850150074997e-10,-4.977112980392597e-13,1.313508149019704e-11,-115.13647667392512,-113.91760084905691
34,39855,55.1144,3.05e-06,1.30671258253649e-08,9.27e-06,3.2271870720185233e-07,-0.46238274669081153,0.0,3.1128927352711675e-12,-134.52453297262525,-135.69621923532296,2.155947666343021e-08,9.69939612882803e-12,-128.8419769977561,-130.0136632604538,6.935940500004973e-07,4.686176117440293e-08,-1.474744314543925e-10,1.8670155677624746e-13,2.509177751026911e-12,-123.41313425855495,-122.19425843368674
35,39856,54.8072,3.92e-06,4.5140430553379804e-08,2.97e-05,3.189985163974034e-07,-0.20296248510151071,15222.24302495089,1.0991808418003794e-10,-116.70361814630704,-117.87530440900474,6.359112672022654e-08,1.522098862489276e-10,-115.07599314700587,-116.24767940970358,-1.7849635640671844e-05,5.112617660388626e-07,-2.167761369428469e-09,2.7997208535387055e-12,2.742116855027083e-12,-122.96925882504115,-121.75038300017295
36,39857,53.9653,4.52e-06,1.54964155946185e-07,4.66e-05,7.534849627540966e-08,0.12407938905301566,8696.773721467345,2.6983627162749757e-11,-123.7261437383682,-124.8978300010659,1.039159712882871e-07,4.182739538721298e-11,-121.5345375573446,-122.70622382004231,-1.1286132165358835e-05,3.41787694649577e-07,-1.052968214691247e-09,1.276681262829298e-12,3.878531309137297e-12,-121.23562704275503,-120.01675121788682
37,39858,53.733000000000004,5.29e-06,5.38042300329995e-08,4.54e-05,1.3940244539155378e-08,0.3835481799062787,6434.669806124519,1.829487269706785e-10,-114.15626547633605,-115.32795173903375,1.0036880267076547e-07,1.9006439533419743e-10,-113.9654804540598,-115.1371667167575,1.3013533072311308e-05,-1.8440319420078278e-07,1.340272830995004e-09,-1.7168375402832988e-12,1.4198108034426235e-10,-103.2344407512056,-102.01556492633739
38,39859,55.2132,9.25e-07,3.6437455912677506e-09,3.45e-06,7.160716334589082e-08,-0.37727041797003935,0.0,5.670841390390358e-13,-143.03853310629668,-144.2102193689944,7.855437611531739e-09,1.0683091684767501e-12,-139.87190923062235,-141.04359549332005,1.9424094212622826e-07,1.7737743399793335e-08,-6.292168113549453e-11,8.776649526648223e-14,3.602803237367945e-13,-133.11727417725157,-131.89839835238337
39,39860,55.4306,5.28e-06,3.87493495282622e-08,2.0600000000000003e-05,3.9204771699940656e-08,0.21607784269386895,37212.82085013323,1.8021962995739385e-11,-125.744339239173,-126.9160255018707,4.83172764305831e-08,5.098601880605915e-11,-120.54453787139758,-121.71622413409528,7.0727841189222635e-06,-6.065721139550074e-08,6.011035250126796e-10,-9.202036479427842e-13,9.611384928316658e-13,-128.21109364550057,-126.99221782063236
40,39861,54.9032,5.14e-06,7.54452617681136e-08,1.88e-05,2.099561144478859e-06,-0.6639336936221965,0.0,4.578541548723748e-11,-121.08246713549153,-122.25415339818923,4.298506742614628e-08,1.3667106416202602e-10,-115.61440990527376,-116.78609616797146,-5.106457677816334e-06,2.145540526148846e-07,-6.779162876056925e-10,6.55210023691443e-13,1.1375166712108375e-11,-115.8557467060708,-114.6368708812026
41,39862,55.6261,1.97e-06,7.26026748035442e-08,1.99e-05,4.5046446619842844e-08,0.06383913966672206,20769.66218745988,1.288753283058448e-11,-127.4209931577389,-128.5926794204366,4.369621787848214e-08,1.6959269400221232e-11,-126.04822238371955,-127.21990864641725,-7.294327187549116e-06,2.0017355396334862e-07,-7.132062229652916e-10,8.888910394891975e-13,2.3216931524575558e-12,-123.80142617680505,-122.58255035193685
